Time,Time Code,Country Name,Country Code,Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],Age dependency ratio old (% of working-age population) [SP.POP.DPND.OL],Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Inflation consumer prices (annual %) [FP.CPI.TOTL.ZG],Inflation GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG],Adjusted savings: net national savings (% of GNI) [NY.ADJ.NNAT.GN.ZS],Coverage of unemployment benefits and ALMP (% of population) [per_lm_alllm.cov_pop_tot],Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Government expenditure per student tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS],Government expenditure on education total (% of GDP) [SE.XPD.TOTL.GD.ZS],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],Net lending (+) / net borrowing (-) (% of GDP) [GC.NLD.TOTL.GD.ZS]
1961,YR1961,Chile,CHL,..,6.73265239283093,2.07853393488806,11.1680519466546,24.6517620117238,..,..,6.56898159256187,..,..,..,..,..,..,..,..
1961,YR1961,Czech Republic,CZE,..,14.7335181219464,-0.160042500915763,124.066921185454,10.512889224819,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Denmark,DNK,..,16.7463961476136,0.698142052204406,108.843214538589,28.1878193381294,..,3.45162858557826,..,..,..,..,..,..,..,..,..
1961,YR1961,Estonia,EST,..,16.084505096894,1.11138977039487,28.9001415428167,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Finland,FIN,..,11.9286804520516,0.705711483663754,14.6459338783282,10.2104346442113,..,1.69100191533953,5.34177802217006,..,..,..,..,..,..,..,..
1961,YR1961,France,FRA,..,18.9649919204747,1.31862853105019,86.2736656403064,21.7092925679955,..,2.4004610454632,3.2717768399815,..,..,..,..,..,..,..,..
1961,YR1961,Germany,DEU,..,17.5321925359316,0.769854344284138,210.172806690917,9.51314972933441,..,2.29367579618988,..,..,..,..,..,..,..,..,..
1961,YR1961,Greece,GRC,..,10.9571428363327,0.792901846960662,65.1516679596587,22.2588696185424,..,2.10357934997021,1.09632768020805,..,..,..,..,..,..,..,..
1961,YR1961,Hungary,HUN,..,14.0373101226957,0.453239643988489,111.387394491337,18.1893868986744,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Ireland,IRL,..,19.4901643590194,-0.148593694420762,40.9986935694586,23.597011754709,..,2.7569993586355,..,..,..,..,..,..,..,..,..
1961,YR1961,Israel,ISR,13.700812490043,8.15780586908854,3.30244804063226,100.970425138632,47.569885583524,..,6.78982340440242,8.61240977680792,..,..,..,..,..,..,-3.28182252668472,..
1961,YR1961,Italy,ITA,..,14.7759169309039,0.668382874410405,171.828057529496,16.1504204399408,..,2.05069731278691,2.78215888207643,..,..,..,..,..,..,..,..
1961,YR1961,Japan,JPN,..,8.83280861550798,0.89603367679599,256.490319061903,41.7156536069321,..,5.36846178480055,7.78571761614133,..,..,..,..,..,..,..,..
1961,YR1961,Korea,PRK,..,5.45021409003519,2.09107047147851,96.8822523046259,5.7009965717985,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Korea,KOR,12.0355331631807,6.41005356448171,2.96724397295283,267.112512958739,22.424281329659,..,8.19565288254092,12.9120452623061,..,..,..,..,..,..,..,..
1961,YR1961,Latvia,LVA,..,15.7945921155509,1.48362675105514,34.6112450961477,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Lithuania,LTU,..,12.5589263907066,1.60657495946158,45.0470644543714,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Luxembourg,LUX,..,16.2402867142343,0.911525536470683,..,..,..,0.482433590630893,-3.65861057046024,..,..,..,..,..,..,..,..
1961,YR1961,Netherlands,NLD,..,14.7713240821291,1.31529458823228,344.748578199052,15.8930988239936,..,1.30763936682733,5.26405818110025,..,..,..,..,..,..,..,..
1961,YR1961,New Zealand,NZL,..,14.5592974751775,1.99944049933518,9.1895484410011,18.6833078480803,..,1.79770429009207,..,..,..,..,..,..,..,..,..
1961,YR1961,Norway,NOR,..,17.8143414035003,0.794353922504427,9.88325612467282,16.212255526622,..,2.15517277670922,2.64762523922117,..,..,..,..,..,..,..,..
1961,YR1961,Poland,POL,..,9.69295845264035,1.09578967474124,97.828855006693,3.82164263783207,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Portugal,PRT,..,13.0211339789547,0.805085263650629,97.5881530054645,26.7598324440528,..,1.54899696989872,1.41176582428876,..,..,..,..,..,..,..,..
1961,YR1961,Slovenia,SVN,..,12.3736388327499,0.592102460583273,79.1524826216485,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Slovak Republic,SVK,..,11.292642788071,2.99236759278997,87.1448440748441,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Spain,ESP,..,12.9496852834031,0.92901553460921,61.5055624474769,16.3684897972462,..,0.809252873882217,2.46638975371481,..,..,..,..,..,..,..,..
1961,YR1961,Switzerland,CHE,96.9471203233261,15.680543999937,1.97861505905873,137.479609390812,10.0560072752781,..,1.84539787448659,..,..,..,..,..,..,..,..,..
1961,YR1961,Sweden,SWE,34.9857422964799,18.1196555664862,0.471081377263699,18.3262611492908,11.0039257989164,..,2.15797310981959,2.93737900542466,..,..,..,..,..,..,..,..
1961,YR1961,United Kingdom,GBR,17.493246893571,18.2927685547542,0.760459938521921,218.244946885463,31.1495681818182,..,3.4474962304662,3.38779649664617,..,..,..,..,..,..,..,..
1961,YR1961,United States,USA,75.0801169605771,15.3161254867277,1.65773003738953,20.0558797068663,38.8465695107545,..,1.07072414764723,1.35015389642166,..,..,..,..,..,..,..,..
1962,YR1962,Australia,AUS,18.646354488729,14.119627938591,2.4406394012832,1.39827916118871,54.6622323589648,..,-0.319488817891384,-0.0758477275512206,..,..,..,..,..,..,..,..
1962,YR1962,Austria,AUT,..,19.3325896262601,0.612895847822874,86.3388713974328,22.8138292679916,..,4.38179863851184,3.34020321438653,..,..,..,..,..,..,..,..
1962,YR1962,Belgium,BEL,..,19.0327705707291,0.398054786807546,280.943875685558,25.19420149149,..,1.40460703543509,1.66769194647134,..,..,..,..,..,..,..,..
1962,YR1962,Canada,CAN,18.807346364575,13.1894716576667,1.85988823339904,2.0761600742394,31.309154399914,..,1.06157112526541,1.30677080680341,..,..,..,..,..,..,-2.5588377993532,..
1962,YR1962,Chile,CHL,..,6.84539124767416,2.06305040299585,11.4008475761635,24.8446630517424,..,..,12.9485164298049,..,..,..,..,..,..,..,..
1962,YR1962,Czech Republic,CZE,..,15.042293564628,0.395694490537776,124.558819723049,10.5480401385607,..,..,..,..,..,..,..,..,..,..,..
