"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2006","2006","CHLD","Children","0","Units",,,2.88,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2007","2007","CHLD","Children","0","Units",,,2.9,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2008","2008","CHLD","Children","0","Units",,,2.96,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2009","2009","CHLD","Children","0","Units",,,2.96,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2010","2010","CHLD","Children","0","Units",,,3.03,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2011","2011","CHLD","Children","0","Units",,,3,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2012","2012","CHLD","Children","0","Units",,,3.05,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2013","2013","CHLD","Children","0","Units",,,3.03,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2014","2014","CHLD","Children","0","Units",,,3.08,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2015","2015","CHLD","Children","0","Units",,,3.09,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2016","2016","CHLD","Children","0","Units",,,3.11,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2017","2017","CHLD","Children","0","Units",,,3.11,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2018","2018","CHLD","Children","0","Units",,,3.09,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2019","2019","CHLD","Children","0","Units",,,3.01,,
"ISR","Israel","TOTAL","Total","FAM1","Total fertility rate","2020","2020","CHLD","Children","0","Units",,,2.9,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1960","1960","CHLD","Children","0","Units",,,2.28,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1961","1961","CHLD","Children","0","Units",,,2.33,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1962","1962","CHLD","Children","0","Units",,,2.35,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1963","1963","CHLD","Children","0","Units",,,2.33,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1964","1964","CHLD","Children","0","Units",,,2.38,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1965","1965","CHLD","Children","0","Units",,,2.42,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1966","1966","CHLD","Children","0","Units",,,2.37,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1967","1967","CHLD","Children","0","Units",,,2.25,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1968","1968","CHLD","Children","0","Units",,,2.13,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1969","1969","CHLD","Children","0","Units",,,2.02,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1970","1970","CHLD","Children","0","Units",,,1.98,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1971","1971","CHLD","Children","0","Units",,,1.96,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1972","1972","CHLD","Children","0","Units",,,1.75,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1973","1973","CHLD","Children","0","Units",,,1.58,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1974","1974","CHLD","Children","0","Units",,,1.58,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1975","1975","CHLD","Children","0","Units",,,1.55,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1976","1976","CHLD","Children","0","Units",,,1.48,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1977","1977","CHLD","Children","0","Units",,,1.49,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1978","1978","CHLD","Children","0","Units",,,1.47,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1979","1979","CHLD","Children","0","Units",,,1.47,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1980","1980","CHLD","Children","0","Units",,,1.5,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1981","1981","CHLD","Children","0","Units",,,1.55,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1982","1982","CHLD","Children","0","Units",,,1.49,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1983","1983","CHLD","Children","0","Units",,,1.44,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1984","1984","CHLD","Children","0","Units",,,1.42,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1985","1985","CHLD","Children","0","Units",,,1.38,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1986","1986","CHLD","Children","0","Units",,,1.44,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1987","1987","CHLD","Children","0","Units",,,1.39,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1988","1988","CHLD","Children","0","Units",,,1.51,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1989","1989","CHLD","Children","0","Units",,,1.52,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1990","1990","CHLD","Children","0","Units",,,1.62,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1991","1991","CHLD","Children","0","Units",,,1.6,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1992","1992","CHLD","Children","0","Units",,,1.67,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1993","1993","CHLD","Children","0","Units",,,1.69,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1994","1994","CHLD","Children","0","Units",,,1.72,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1995","1995","CHLD","Children","0","Units",,,1.67,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1996","1996","CHLD","Children","0","Units",,,1.76,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1997","1997","CHLD","Children","0","Units",,,1.71,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1998","1998","CHLD","Children","0","Units",,,1.67,,
"LUX","Luxembourg","TOTAL","Total","FAM1","Total fertility rate","1999","1999","CHLD","Children","0","Units",,,1.71,,
