"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1993","1993","CHLD","Children","0","Units",,,1.57,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1994","1994","CHLD","Children","0","Units",,,1.57,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1995","1995","CHLD","Children","0","Units",,,1.53,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1996","1996","CHLD","Children","0","Units",,,1.53,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1997","1997","CHLD","Children","0","Units",,,1.56,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1998","1998","CHLD","Children","0","Units",,,1.63,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","1999","1999","CHLD","Children","0","Units",,,1.65,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2000","2000","CHLD","Children","0","Units",,,1.72,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2001","2001","CHLD","Children","0","Units",,,1.71,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2002","2002","CHLD","Children","0","Units",,,1.73,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2003","2003","CHLD","Children","0","Units",,,1.75,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2004","2004","CHLD","Children","0","Units",,,1.73,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2005","2005","CHLD","Children","0","Units",,,1.71,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2006","2006","CHLD","Children","0","Units",,,1.72,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2007","2007","CHLD","Children","0","Units",,,1.72,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2008","2008","CHLD","Children","0","Units",,,1.77,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2009","2009","CHLD","Children","0","Units",,,1.79,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2010","2010","CHLD","Children","0","Units",,,1.8,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2011","2011","CHLD","Children","0","Units",,,1.76,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2012","2012","CHLD","Children","0","Units",,,1.72,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2013","2013","CHLD","Children","0","Units",,,1.68,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2014","2014","CHLD","Children","0","Units",,,1.71,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2015","2015","CHLD","Children","0","Units",,,1.66,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2016","2016","CHLD","Children","0","Units",,,1.66,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2017","2017","CHLD","Children","0","Units",,,1.62,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2018","2018","CHLD","Children","0","Units",,,1.59,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2019","2019","CHLD","Children","0","Units",,,1.57,,
"NLD","Netherlands","TOTAL","Total","FAM1","Total fertility rate","2020","2020","CHLD","Children","0","Units",,,1.55,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1960","1960","CHLD","Children","0","Units",,,2.23,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1961","1961","CHLD","Children","0","Units",,,2.13,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1962","1962","CHLD","Children","0","Units",,,2.16,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1963","1963","CHLD","Children","0","Units",,,2.14,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1964","1964","CHLD","Children","0","Units",,,2.24,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1965","1965","CHLD","Children","0","Units",,,2.25,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1966","1966","CHLD","Children","0","Units",,,2.32,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1967","1967","CHLD","Children","0","Units",,,2.45,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1968","1968","CHLD","Children","0","Units",,,2.42,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1969","1969","CHLD","Children","0","Units",,,2.36,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1970","1970","CHLD","Children","0","Units",,,2.4,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1971","1971","CHLD","Children","0","Units",,,2.32,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1972","1972","CHLD","Children","0","Units",,,2.32,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1973","1973","CHLD","Children","0","Units",,,2.27,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1974","1974","CHLD","Children","0","Units",,,2.38,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1975","1975","CHLD","Children","0","Units",,,2.33,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1976","1976","CHLD","Children","0","Units",,,2.35,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1977","1977","CHLD","Children","0","Units",,,2.27,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1978","1978","CHLD","Children","0","Units",,,2.28,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1979","1979","CHLD","Children","0","Units",,,2.26,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1980","1980","CHLD","Children","0","Units",,,2.23,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1981","1981","CHLD","Children","0","Units",,,2.1,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1982","1982","CHLD","Children","0","Units",,,2.03,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1983","1983","CHLD","Children","0","Units",,,1.94,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1984","1984","CHLD","Children","0","Units",,,1.82,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1985","1985","CHLD","Children","0","Units",,,1.68,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1986","1986","CHLD","Children","0","Units",,,1.6,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1987","1987","CHLD","Children","0","Units",,,1.5,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1988","1988","CHLD","Children","0","Units",,,1.5,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1989","1989","CHLD","Children","0","Units",,,1.4,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1990","1990","CHLD","Children","0","Units",,,1.39,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1991","1991","CHLD","Children","0","Units",,,1.37,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1992","1992","CHLD","Children","0","Units",,,1.36,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1993","1993","CHLD","Children","0","Units",,,1.32,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1994","1994","CHLD","Children","0","Units",,,1.33,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1995","1995","CHLD","Children","0","Units",,,1.28,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1996","1996","CHLD","Children","0","Units",,,1.26,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1997","1997","CHLD","Children","0","Units",,,1.27,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1998","1998","CHLD","Children","0","Units",,,1.24,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","1999","1999","CHLD","Children","0","Units",,,1.23,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","2000","2000","CHLD","Children","0","Units",,,1.25,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","2001","2001","CHLD","Children","0","Units",,,1.25,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","2002","2002","CHLD","Children","0","Units",,,1.28,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","2003","2003","CHLD","Children","0","Units",,,1.29,,
"GRC","Greece","TOTAL","Total","FAM1","Total fertility rate","2004","2004","CHLD","Children","0","Units",,,1.31,,
